#Series_01_x	Series_01_y(1d42)
13.8925	0.998181
15.1164	1.74117
17.0166	2.58409
21.7982	3.65156
23.4098	3.60081
26.7578	3.0056
28.7449	2.80202
31.4716	2.25306
35.2688	1.57692
38.4371	1.29327
40.376	1.04879
41.2182	1.03977
43.3601	0.979353
44.1487	0.806135
45.0024	0.897311
46.1122	0.843756
47.2233	0.770383
48.2514	0.731421
56.2744	0.522984
57.1491	0.577474
58.1933	0.576121
60.2349	0.603097
64.0637	0.507719
65.2194	0.460857
66.4478	0.509895
69.1687	0.46151
70.2071	0.360306
72.2295	0.474274
73.3366	0.458299
76.1141	0.353558
77.1476	0.319029
78.128	0.368292
79.1557	0.346108
80.2837	0.509238
82.319	0.372082
83.0305	0.322776
84.9909	0.421258
84.1148	0.332006
86.1158	0.385157
86.9334	0.410906
93.1727	0.254141
93.9256	0.471063
95.0916	0.332116
97.1224	0.407961
98.2848	0.330007
99.0092	0.284532
99.9508	0.29284
102.866	0.410096
104.078	0.486394
105.116	0.470024
109.923	0.35857
111.774	0.303681
113.059	0.319924
137.881	0.253495
153.627	0.265944
161.811	0.210773
162.938	0.214027
163.867	0.197351
164.917	0.154469
